,Borough,Neighborhood,Latitude,Longitude
0,Old_Toronto,Alexandra Park,43.65075755,-79.4042978683821
1,Old_Toronto,The Annex,43.6703377,-79.407117
2,Old_Toronto,Baldwin Village,43.66981815,-79.4971720154081
3,Old_Toronto,Cabbagetown,43.6644734,-79.3669861
4,Old_Toronto,CityPlace,43.6392482,-79.3963865
5,Old_Toronto,Chinatown,43.6529237,-79.3980316
6,Old_Toronto,Church and Wellesley,43.6655242,-79.3838011
7,Old_Toronto,Corktown,43.6573709,-79.3565189
8,Old_Toronto,Discovery District,43.6575555,-79.3894803
9,Old_Toronto,Distillery District,43.6502947,-79.3595401
10,Old_Toronto,The Entertainment District,43.6465862,-79.389723
11,Old_Toronto,East Bayfront,,
12,Old_Toronto,Fashion District,43.6454561,-79.3949942
13,Old_Toronto,Financial District,43.64866395,-79.3815338905095
14,Old_Toronto,Garden District,43.6564995,-79.3771141
15,Old_Toronto,Grange Park,43.6521919,-79.3921942591534
16,Old_Toronto,Harbord Village,43.6615225,-79.4097446
17,Old_Toronto,Harbourfront,43.6400801,-79.3801495
18,Old_Toronto,Kensington Market,43.6552136,-79.4022604
19,Old_Toronto,Little Japan,,
20,Old_Toronto,Moss Park,43.6546438,-79.3697278
21,Old_Toronto,Old Town,43.6708625,-79.3727924125372
22,Old_Toronto,Quayside,43.6472502,-79.3581720783773
23,Old_Toronto,Queen Street West,43.6430569,-79.4244619
24,Old_Toronto,Regent Park,43.6607056,-79.3604569
25,Old_Toronto,South Core,43.6421064,-79.3774455
26,Old_Toronto,St. James Town,43.6694032,-79.3727041
27,Old_Toronto,St. Lawrence,43.649422,-79.3714278
28,Old_Toronto,Toronto Islands,43.6161962,-79.3693582
29,Old_Toronto,Trefann Court,43.6564893,-79.3628297
30,Old_Toronto,University,43.6561192,-79.38467
31,Old_Toronto,Yorkville,43.6713861,-79.3901677
32,Old_Toronto,The Beaches,43.6710244,-79.296712
33,Old_Toronto,East Chinatown,43.6523873,-79.3835641
34,Old_Toronto,East Danforth,43.6863598,-79.3003158
35,Old_Toronto,Gerrard Street East,43.6604633,-79.3757511
36,Old_Toronto,Gerrard India Bazaar,43.6722231,-79.3235032
37,Old_Toronto,Greektown,43.6779017,-79.3489337
38,Old_Toronto,Leslieville,43.6627,-79.3328148
39,Old_Toronto,Main Square,43.68766595,-79.3002480016321
40,Old_Toronto,Playter Estates,,
41,Old_Toronto,Port Lands,43.6430648,-79.3506012
42,Old_Toronto,Riverdale,43.6654704,-79.3525936
43,Old_Toronto,Upper Beaches,43.6710244,-79.296712
44,Old_Toronto,Bedford Park,43.7373876,-79.4109253
45,Old_Toronto,Casa Loma,43.6781015,-79.409415775
46,Old_Toronto,Chaplin Estates,43.7025981,-79.4032704
47,Old_Toronto,Davisville Village,43.7043123,-79.3885169
48,Old_Toronto,Deer Park,43.68809,-79.3940935
49,Old_Toronto,Forest Hill,43.6935586,-79.4139023
50,Old_Toronto,Lawrence Park,43.729199,-79.4032525
51,Old_Toronto,Lytton Park,43.7159986,-79.412291
52,Old_Toronto,Midtown,43.7051999,-79.3974155214733
53,Old_Toronto,Moore Park,43.6903876,-79.3832965
54,Old_Toronto,North Toronto,43.653963,-79.387207
55,Old_Toronto,Rosedale,43.6783556,-79.3807457
56,Old_Toronto,South Hill,43.6779261,-79.4057671
57,Old_Toronto,Summerhill,43.6816776,-79.3905037
58,Old_Toronto,Uptown,43.6694927,-79.3874145473265
59,Old_Toronto,Wanless Park,43.7289408,-79.3920274498931
60,Old_Toronto,Wychwood Park,43.677743,-79.4201849779446
61,Old_Toronto,Yonge–Eglinton,43.7067479,-79.3983271
62,Old_Toronto,Bedford Park,43.7373876,-79.4109253
63,Old_Toronto,Casa Loma,43.6781015,-79.409415775
64,Old_Toronto,Chaplin Estates,43.7025981,-79.4032704
65,Old_Toronto,Davisville Village,43.7043123,-79.3885169
66,Old_Toronto,Deer Park,43.68809,-79.3940935
67,Old_Toronto,Forest Hill,43.6935586,-79.4139023
68,Old_Toronto,Lawrence Park,43.729199,-79.4032525
69,Old_Toronto,Lytton Park,43.7159986,-79.412291
70,Old_Toronto,Midtown,43.7051999,-79.3974155214733
71,Old_Toronto,Moore Park,43.6903876,-79.3832965
72,Old_Toronto,North Toronto,43.653963,-79.387207
73,Old_Toronto,Rosedale,43.6783556,-79.3807457
74,Old_Toronto,South Hill,43.6779261,-79.4057671
75,Old_Toronto,Summerhill,43.6816776,-79.3905037
76,Old_Toronto,Uptown,43.6694927,-79.3874145473265
77,Old_Toronto,Wanless Park,43.7289408,-79.3920274498931
78,Old_Toronto,Wychwood Park,43.677743,-79.4201849779446
79,Old_Toronto,Yonge–Eglinton,43.7067479,-79.3983271
80,Old_Toronto,Beaconsfield Village,43.6430728,-79.4247916
81,Old_Toronto,Bloor West Village,43.6493184,-79.4844358
82,Old_Toronto,Bracondale Hill,43.6761247,-79.4279997
83,Old_Toronto,Brockton Village,43.6509173,-79.4400216
84,Old_Toronto,Carleton Village,43.6707006,-79.4532993
85,Old_Toronto,Corso Italia,43.677954,-79.4430828
86,Old_Toronto,Davenport,43.6715614,-79.4482927
87,Old_Toronto,Dovercourt Park,43.66522275,-79.4335374486159
88,Old_Toronto,Dufferin Grove,43.6536319,-79.4264389
89,Old_Toronto,Earlscourt,43.6762773,-79.4505723
90,Old_Toronto,Fort York,43.6386801,-79.4035012349971
91,Old_Toronto,High Park,43.64628135,-79.4637944620008
92,Old_Toronto,The Junction,43.6654775,-79.470352
93,Old_Toronto,Malta,43.6571024,-79.4745852
94,Old_Toronto,Junction Triangle,43.65789885,-79.4480432422613
95,Old_Toronto,Koreatown,43.6635564,-79.4184157
96,Old_Toronto,Liberty Village,43.6388951,-79.4179531
97,Old_Toronto,Little Italy,43.6552079,-79.4148769
98,Old_Toronto,Little Portugal,43.64741325,-79.4311163254605
99,Old_Toronto,Little Tibet,43.6389445,-79.4273119
100,Old_Toronto,Mirvish Village,43.6651321,-79.411205
101,Old_Toronto,Niagara,43.6434701,-79.4082484
102,Old_Toronto,Palmerston,43.6728085,-79.4167926
103,Old_Toronto,Parkdale,43.6404954,-79.4368965
104,Old_Toronto,Queen Street West,43.6430569,-79.4244619
105,Old_Toronto,Roncesvalles,43.6514426,-79.4510381
106,Old_Toronto,Runnymede,43.6655802,-79.4821078
107,Old_Toronto,Seaton Village,43.6692756,-79.4159596
108,Old_Toronto,Swansea,43.64494,-79.478313
109,Old_Toronto,Trinity–Bellwoods,43.64756465,-79.4138809026667
110,Old_Toronto,Wallace Emerson,43.6667328,-79.4464779
111,East_York,Broadview North,43.6839242,-79.3569642
112,East_York,Crescent Town,43.695403,-79.293099
113,East_York,East Danforth,43.6863598,-79.3003158
114,East_York,Pape Village,43.6893775,-79.3488243
115,East_York,Woodbine Heights,43.6999302,-79.3191316
116,East_York,Bermondsey,43.7138242,-79.3106776
117,East_York,Governor's Bridge,43.6894235,-79.3694257
118,East_York,Leaside,43.7047983,-79.3680904
119,East_York,O'Connor–Parkview,43.7078416,-79.3110743
120,East_York,Thorncliffe Park,43.704553,-79.3454074
121,Etobicoke,Alderwood,43.6017173,-79.5452325
122,Etobicoke,Centennial Park,43.65359045,-79.5888688813873
123,Etobicoke,Clairville,,
124,Etobicoke,Eatonville,43.6462843,-79.5600005
125,Etobicoke,The Elms,43.6969975,-79.5218834
126,Etobicoke,Eringate,43.6622732,-79.5765162
127,Etobicoke,Humber Bay,43.6400463,-79.495028
128,Etobicoke,Humber Heights – Westmount,43.7121949,-79.5175109823888
129,Etobicoke,Humber Valley Village,43.6664717,-79.5243136
130,Etobicoke,Humberwood,43.722525,-79.5460241478979
131,Etobicoke,Islington–City Centre West,43.6487953,-79.5490002
132,Etobicoke,Kingsview Village,43.6995391,-79.5563459
133,Etobicoke,The Kingsway,43.6473811,-79.5113328
134,Etobicoke,Long Branch,43.5930751,-79.541212
135,Etobicoke,Markland Wood,43.63123795,-79.5854368166265
136,Etobicoke,Mimico,43.6036604,-79.4932037
137,Etobicoke,New Toronto,43.6007625,-79.505264
138,Etobicoke,Princess Gardens,43.6404664,-79.3912237
139,Etobicoke,Rexdale,43.7213619,-79.5655129
140,Etobicoke,Richview,43.688589,-79.5428473
141,Etobicoke,Smithfield,43.631184,-79.4856673
142,Etobicoke,Stonegate-Queensway,43.62195,-79.5234993
143,Etobicoke,Sunnylea,43.64159705,-79.5016649732138
144,Etobicoke,Thistletown,43.7372656,-79.5653169
145,Etobicoke,Thorncrest Village,43.6592355,-79.5297762
146,Etobicoke,West Humber-Clairville,,
147,Etobicoke,West Deane Park,43.6631995,-79.5685684
148,Etobicoke,Willowridge,43.6755594,-79.5698955132183
149,North_York,Amesbury,43.7061619,-79.4834918540464
150,North_York,Armour Heights,43.7439436,-79.4308512
151,North_York,Bathurst Manor,43.76389295,-79.4563669371095
152,North_York,Bayview Village,43.7691966,-79.3766617
153,North_York,Bayview Woods – Steeles,43.7981268,-79.3829726
154,North_York,Bermondsey,43.7138242,-79.3106776
155,North_York,Black Creek,43.6954005,-79.485495
156,North_York,The Bridle Path,43.7353996,-79.370883
157,North_York,Clanton Park,43.7431757,-79.4517261
158,North_York,Don Mills,43.737178,-79.3434514
159,North_York,Don Valley Village,43.7926732,-79.3547219
160,North_York,Downsview,43.7492988,-79.462248
161,North_York,Flemingdon Park,43.7184315,-79.333204
162,North_York,Glen Park,43.7090016,-79.4437983
163,North_York,Henry Farm,43.7695089,-79.354296
164,North_York,Hillcrest Village,43.7996637,-79.3650189
165,North_York,Hoggs Hollow,43.7415342,-79.4028781
166,North_York,Humber Summit,43.7600778,-79.5717598
167,North_York,Humbermede,,
168,North_York,Jane and Finch,43.7572532,-79.5176975
169,North_York,Lansing,43.7589503,-79.4225555
170,North_York,Lawrence Heights,43.7227784,-79.4509332
171,North_York,Lawrence Manor,43.7220788,-79.4375067
172,North_York,Ledbury Park,43.7208906,-79.4224594
173,North_York,Maple Leaf,43.7122767,-79.4901977
174,North_York,Newtonbrook,43.7938863,-79.4256790230105
175,North_York,North York City Centre,43.7708175,-79.4132998
176,North_York,Parkway Forest,43.77166,-79.3426631
177,North_York,Parkwoods,43.7587999,-79.3201966
178,North_York,The Peanut,43.7840694,-79.3515012
179,North_York,Pelmo Park – Humberlea,43.7121949,-79.5175109823888
180,North_York,Pleasant View,43.787048,-79.3337137
181,North_York,Uptown Toronto,43.6694927,-79.3874145473265
182,North_York,Victoria Village,43.732658,-79.3111892
183,North_York,Westminster–Branson,43.7764213, -79.4506989
184,North_York,Willowdale,43.7753558,-79.4166859823926
185,North_York,York Mills,43.7461836,-79.4204541
186,North_York,York University Heights,43.7587808,-79.5194336
187,Scarborough,Agincourt,43.7853531,-79.2785494
188,Scarborough,Armadale,43.8365868,-79.2511551
189,Scarborough,Bendale,43.7535196,-79.2553355
190,Scarborough,Birch Cliff,43.70211215,-79.2600905301568
191,Scarborough, Birch Cliff Heights,43.70211215,-79.2600905301568
192,Scarborough,Brown's Corners,43.8129887,-79.2430221
193,Scarborough,Clairlea,43.7088231,-79.2959856
194,Scarborough,Cliffside,43.7111699,-79.2481769
195,Scarborough,Cliffcrest,43.7219387,-79.2362324
196,Scarborough,Dorset Park,43.7528467,-79.282067
197,Scarborough,Eglinton East,43.739622,-79.2322904
198,Scarborough,Golden Mile,43.7278414,-79.2876217
199,Scarborough,Guildwood,43.7548985,-79.1977755
200,Scarborough,Highland Creek,43.7901172,-79.1733344
201,Scarborough,Ionview,43.7359904,-79.2765146
202,Scarborough,L'Amoreaux,43.799003,-79.3059669
203,Scarborough,Malvern,43.8091955,-79.2217008
204,Scarborough,Maryvale,43.7590508,-79.3102297
205,Scarborough,Milliken,43.8232173,-79.3015232
206,Scarborough,Morningside,43.7826012,-79.2049579
207,Scarborough,Morningside Heights,43.8237001,-79.2241521
208,Scarborough,Oakridge,43.6971738,-79.2748232
209,Scarborough,Port Union,43.7755039,-79.1349765
210,Scarborough,Rouge,43.8049304,-79.1658374
211,Scarborough,Scarborough City Centre,43.773077,-79.257774
212,Scarborough,Scarborough Junction,43.7160494,-79.2607028
213,Scarborough,Scarborough Village,43.7437422,-79.2116324
214,Scarborough,Steeles,43.8161778,-79.3145378
215,Scarborough,Tam O'Shanter – Sullivan,43.7689975,-79.3018488191115
216,Scarborough,West Hill,43.7689144,-79.1872905
